,date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
0,2020-03-12,09:30,09:30 AM,1127.93,1114.46,1120.15,1125.76,1120.136,1551,1737331.365,23,GOOGL
1,2020-03-12,09:31,09:31 AM,1128.025,1123.55,1124.48,1127.85,1125.992,630,709374.66,11,GOOGL
2,2020-03-12,09:32,09:32 AM,1129.58,1124.35,1127.22,1124.35,1127.453,865,975246.425,11,GOOGL
3,2020-03-12,09:33,09:33 AM,1126.15,1123.78,1125.005,1126.15,1125.943,1212,1364643.06,17,GOOGL
4,2020-03-12,09:34,09:34 AM,1125.11,1120.43,1125.11,1120.43,1121.585,1018,1141773.28,14,GOOGL
5,2020-03-12,09:35,09:35 AM,1119.795,1116.8,1119.795,1116.8,1119.285,1117,1250241.93,11,GOOGL
6,2020-03-12,09:36,09:36 AM,,,,,,0,0.0,0,GOOGL
7,2020-03-12,09:37,09:37 AM,,,,,,0,0.0,0,GOOGL
8,2020-03-12,09:38,09:38 AM,,,,,,0,0.0,0,GOOGL
9,2020-03-12,09:39,09:39 AM,,,,,,0,0.0,0,GOOGL
10,2020-03-12,09:40,09:40 AM,,,,,,0,0.0,0,GOOGL
11,2020-03-12,09:41,09:41 AM,,,,,,0,0.0,0,GOOGL
12,2020-03-12,09:42,09:42 AM,,,,,,0,0.0,0,GOOGL
13,2020-03-12,09:43,09:43 AM,,,,,,0,0.0,0,GOOGL
14,2020-03-12,09:44,09:44 AM,,,,,,0,0.0,0,GOOGL
15,2020-03-12,09:45,09:45 AM,,,,,,0,0.0,0,GOOGL
16,2020-03-12,09:46,09:46 AM,,,,,,0,0.0,0,GOOGL
17,2020-03-12,09:47,09:47 AM,,,,,,0,0.0,0,GOOGL
18,2020-03-12,09:48,09:48 AM,,,,,,0,0.0,0,GOOGL
19,2020-03-12,09:49,09:49 AM,,,,,,0,0.0,0,GOOGL
20,2020-03-12,09:50,09:50 AM,1112.255,1110.0,1110.0,1111.625,1111.802,605,672640.5,7,GOOGL
21,2020-03-12,09:51,09:51 AM,1114.94,1112.22,1113.78,1113.27,1113.874,332,369806.14,7,GOOGL
22,2020-03-12,09:52,09:52 AM,1115.85,1110.45,1111.74,1114.8,1114.37,618,688680.785,10,GOOGL
23,2020-03-12,09:53,09:53 AM,1116.2,1112.71,1116.17,1113.735,1114.397,1539,1715057.025,18,GOOGL
24,2020-03-12,09:54,09:54 AM,1119.11,1114.76,1114.76,1118.46,1116.887,900,1005198.0,9,GOOGL
25,2020-03-12,09:55,09:55 AM,1123.65,1117.89,1118.33,1123.65,1121.1,3518,3944029.095,31,GOOGL
26,2020-03-12,09:56,09:56 AM,1127.835,1123.99,1124.66,1127.83,1125.721,400,450288.595,8,GOOGL
27,2020-03-12,09:57,09:57 AM,1136.85,1130.24,1130.24,1132.91,1134.575,987,1119825.63,17,GOOGL
28,2020-03-12,09:58,09:58 AM,1137.59,1131.66,1131.66,1136.665,1135.903,180,204462.555,6,GOOGL
