,date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
0,2020-03-12,09:30,09:30 AM,580.57,572.32,580.03,572.32,575.559,8664,4986648.105,49,TSLA
1,2020-03-12,09:31,09:31 AM,578.7,571.5,574.0,574.3,573.8580000000001,3261,1871351.55,24,TSLA
2,2020-03-12,09:32,09:32 AM,575.94,571.245,575.94,572.63,572.825,2589,1483044.895,17,TSLA
3,2020-03-12,09:33,09:33 AM,572.925,568.405,572.925,568.885,569.558,5089,2898480.6,22,TSLA
4,2020-03-12,09:34,09:34 AM,568.615,567.3,568.56,567.59,567.677,3188,1809755.425,14,TSLA
5,2020-03-12,09:35,09:35 AM,570.68,569.03,569.295,570.68,569.67,6579,3747857.85,17,TSLA
6,2020-03-12,09:36,09:36 AM,,,,,,0,0.0,0,TSLA
7,2020-03-12,09:37,09:37 AM,,,,,,0,0.0,0,TSLA
8,2020-03-12,09:38,09:38 AM,,,,,,0,0.0,0,TSLA
9,2020-03-12,09:39,09:39 AM,,,,,,0,0.0,0,TSLA
10,2020-03-12,09:40,09:40 AM,,,,,,0,0.0,0,TSLA
11,2020-03-12,09:41,09:41 AM,,,,,,0,0.0,0,TSLA
12,2020-03-12,09:42,09:42 AM,,,,,,0,0.0,0,TSLA
13,2020-03-12,09:43,09:43 AM,,,,,,0,0.0,0,TSLA
14,2020-03-12,09:44,09:44 AM,,,,,,0,0.0,0,TSLA
15,2020-03-12,09:45,09:45 AM,,,,,,0,0.0,0,TSLA
16,2020-03-12,09:46,09:46 AM,,,,,,0,0.0,0,TSLA
17,2020-03-12,09:47,09:47 AM,,,,,,0,0.0,0,TSLA
18,2020-03-12,09:48,09:48 AM,,,,,,0,0.0,0,TSLA
19,2020-03-12,09:49,09:49 AM,,,,,,0,0.0,0,TSLA
20,2020-03-12,09:50,09:50 AM,567.11,564.75,567.11,564.75,565.09,3400,1921306.22,8,TSLA
21,2020-03-12,09:51,09:51 AM,563.23,557.2,563.23,557.2,559.651,5270,2949359.275,62,TSLA
22,2020-03-12,09:52,09:52 AM,557.2,551.155,557.2,551.155,553.114,15904,8796723.0,53,TSLA
23,2020-03-12,09:53,09:53 AM,557.01,549.36,551.05,557.01,551.492,7255,4001077.655,107,TSLA
24,2020-03-12,09:54,09:54 AM,559.3,553.83,556.87,558.225,556.714,9678,5387877.485,34,TSLA
25,2020-03-12,09:55,09:55 AM,568.49,558.7,558.77,568.49,564.609,3607,2036543.61,13,TSLA
26,2020-03-12,09:56,09:56 AM,569.17,564.02,567.58,567.775,567.6080000000001,4785,2716003.46,24,TSLA
27,2020-03-12,09:57,09:57 AM,575.185,569.005,569.005,573.33,572.193,10353,5923910.705,28,TSLA
28,2020-03-12,09:58,09:58 AM,580.0,577.39,577.39,580.0,578.883,503,291178.0,8,TSLA
29,2020-03-12,09:59,09:59 AM,587.74,583.6,583.6,587.74,586.07,815,477647.23,9,TSLA
30,2020-03-12,10:00,10 AM,586.2,577.54,582.8,586.2,581.007,667,387531.44,8,TSLA
