,date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
0,2020-03-12,09:30,09:30 AM,23.59,23.59,23.59,23.59,23.59,100,2359.0,1,UBER
1,2020-03-12,09:31,09:31 AM,23.85,23.57,23.8,23.57,23.728,600,14237.0,6,UBER
2,2020-03-12,09:32,09:32 AM,23.66,23.66,23.66,23.66,23.66,100,2366.0,1,UBER
3,2020-03-12,09:33,09:33 AM,23.515,23.045,23.515,23.055,23.253,43124,1002779.92,113,UBER
4,2020-03-12,09:34,09:34 AM,23.44,23.055,23.055,23.44,23.226,49042,1139059.425,150,UBER
5,2020-03-12,09:35,09:35 AM,23.655,23.445,23.455,23.545,23.519000000000002,30201,710309.88,71,UBER
6,2020-03-12,09:36,09:36 AM,,,,,,0,0.0,0,UBER
7,2020-03-12,09:37,09:37 AM,,,,,,0,0.0,0,UBER
8,2020-03-12,09:38,09:38 AM,,,,,,0,0.0,0,UBER
9,2020-03-12,09:39,09:39 AM,,,,,,0,0.0,0,UBER
10,2020-03-12,09:40,09:40 AM,,,,,,0,0.0,0,UBER
11,2020-03-12,09:41,09:41 AM,,,,,,0,0.0,0,UBER
12,2020-03-12,09:42,09:42 AM,,,,,,0,0.0,0,UBER
13,2020-03-12,09:43,09:43 AM,,,,,,0,0.0,0,UBER
14,2020-03-12,09:44,09:44 AM,,,,,,0,0.0,0,UBER
15,2020-03-12,09:45,09:45 AM,,,,,,0,0.0,0,UBER
16,2020-03-12,09:46,09:46 AM,,,,,,0,0.0,0,UBER
17,2020-03-12,09:47,09:47 AM,,,,,,0,0.0,0,UBER
18,2020-03-12,09:48,09:48 AM,,,,,,0,0.0,0,UBER
19,2020-03-12,09:49,09:49 AM,,,,,,0,0.0,0,UBER
20,2020-03-12,09:50,09:50 AM,,,,,,0,0.0,0,UBER
21,2020-03-12,09:51,09:51 AM,,,,,,0,0.0,0,UBER
22,2020-03-12,09:52,09:52 AM,,,,,,0,0.0,0,UBER
23,2020-03-12,09:53,09:53 AM,23.18,23.0,23.015,23.06,23.076999999999998,8867,204626.35,52,UBER
24,2020-03-12,09:54,09:54 AM,23.33,23.035,23.04,23.2,23.19,23958,555595.685,108,UBER
25,2020-03-12,09:55,09:55 AM,23.37,23.17,23.18,23.315,23.235,45326,1053148.415,158,UBER
26,2020-03-12,09:56,09:56 AM,23.36,23.22,23.295,23.3,23.255,243563,5664139.58,214,UBER
27,2020-03-12,09:57,09:57 AM,23.48,23.285,23.3,23.445,23.427,43341,1015353.735,137,UBER
28,2020-03-12,09:58,09:58 AM,23.51,23.365,23.45,23.46,23.414,29574,692457.125,153,UBER
29,2020-03-12,09:59,09:59 AM,23.61,23.43,23.47,23.61,23.494,15696,368762.97,79,UBER
30,2020-03-12,10:00,10 AM,23.88,23.6,23.6,23.875,23.689,21753,515301.055,127,UBER
31,2020-03-12,10:01,10:01 AM,24.11,23.87,23.945,23.89,24.026,9158,220034.17,50,UBER
32,2020-03-12,10:02,10:02 AM,24.38,23.87,23.87,24.38,24.15,9307,224760.99,39,UBER
33,2020-03-12,10:03,10:03 AM,24.42,24.05,24.35,24.35,24.214000000000002,8975,217318.85,60,UBER
34,2020-03-12,10:04,10:04 AM,24.35,23.94,24.35,23.96,24.058000000000003,4344,104509.64,22,UBER
35,2020-03-12,10:05,10:05 AM,24.115,23.705,24.04,23.725,23.799,6180,147079.475,41,UBER
36,2020-03-12,10:06,10:06 AM,24.065,23.65,23.65,23.925,23.857,11190,266954.765,41,UBER
37,2020-03-12,10:07,10:07 AM,23.96,23.81,23.935,23.96,23.855999999999998,12900,307747.5,38,UBER
38,2020-03-12,10:08,10:08 AM,24.025,23.83,23.94,23.89,23.941,9297,222576.51,42,UBER
39,2020-03-12,10:09,10:09 AM,24.0,23.8,23.89,23.88,23.896,10289,245863.135,38,UBER
40,2020-03-12,10:10,10:10 AM,23.86,23.73,23.86,23.79,23.766,8788,208855.805,40,UBER
41,2020-03-12,10:11,10:11 AM,23.795,23.645,23.795,23.79,23.706,11241,266480.205,38,UBER
42,2020-03-12,10:12,10:12 AM,23.94,23.81,23.81,23.915,23.901999999999997,6093,145633.41,31,UBER
43,2020-03-12,10:13,10:13 AM,23.92,23.72,23.915,23.92,23.793000000000003,5609,133452.29,40,UBER
44,2020-03-12,10:14,10:14 AM,24.01,23.93,23.93,23.965,23.956999999999997,9020,216093.9,42,UBER
45,2020-03-12,10:15,10:15 AM,24.115,24.005,24.005,24.115,24.046,4330,104117.5,34,UBER
46,2020-03-12,10:16,10:16 AM,24.165,23.98,24.165,24.01,24.054000000000002,3727,89649.12,26,UBER
47,2020-03-12,10:17,10:17 AM,23.97,23.82,23.945,23.895,23.889,7638,182466.975,38,UBER
48,2020-03-12,10:18,10:18 AM,24.03,23.9,23.9,24.005,23.99,6495,155812.915,45,UBER
49,2020-03-12,10:19,10:19 AM,24.04,23.99,24.0,24.04,24.013,7066,169674.16,50,UBER
50,2020-03-12,10:20,10:20 AM,24.145,24.02,24.055,24.1,24.06,13363,321516.095,59,UBER
51,2020-03-12,10:21,10:21 AM,24.135,24.08,24.09,24.11,24.101999999999997,10567,254683.035,66,UBER
52,2020-03-12,10:22,10:22 AM,24.115,24.07,24.09,24.115,24.103,25766,621039.91,76,UBER
53,2020-03-12,10:23,10:23 AM,24.23,24.125,24.14,24.22,24.166999999999998,17300,418089.495,67,UBER
54,2020-03-12,10:24,10:24 AM,24.235,24.15,24.155,24.225,24.191999999999997,9394,227262.27,24,UBER
55,2020-03-12,10:25,10:25 AM,24.31,24.24,24.24,24.29,24.266,5100,123758.0,25,UBER
56,2020-03-12,10:26,10:26 AM,24.32,24.25,24.29,24.25,24.288,17547,426174.74,67,UBER
57,2020-03-12,10:27,10:27 AM,24.25,24.2,24.25,24.24,24.233,7309,177115.5,28,UBER
58,2020-03-12,10:28,10:28 AM,24.3,24.225,24.28,24.23,24.259,4200,101888.5,23,UBER
59,2020-03-12,10:29,10:29 AM,24.245,24.14,24.245,24.2,24.171999999999997,13466,325505.035,45,UBER
60,2020-03-12,10:30,10:30 AM,24.3,24.2,24.22,24.3,24.236,4456,107994.38,27,UBER
61,2020-03-12,10:31,10:31 AM,24.325,24.25,24.26,24.29,24.278000000000002,5749,139571.935,27,UBER
62,2020-03-12,10:32,10:32 AM,24.32,24.29,24.3,24.31,24.304000000000002,5302,128861.6,26,UBER
63,2020-03-12,10:33,10:33 AM,24.42,24.32,24.32,24.41,24.351999999999997,9656,235140.31,43,UBER
64,2020-03-12,10:34,10:34 AM,24.54,24.41,24.41,24.5,24.503,13458,329764.08,58,UBER
65,2020-03-12,10:35,10:35 AM,24.49,24.31,24.435,24.33,24.368000000000002,5876,143189.23,27,UBER
66,2020-03-12,10:36,10:36 AM,24.495,24.34,24.355,24.48,24.415,8658,211386.58,45,UBER
67,2020-03-12,10:37,10:37 AM,24.51,24.48,24.48,24.5,24.5,4652,113974.93,31,UBER
68,2020-03-12,10:38,10:38 AM,24.58,24.44,24.49,24.545,24.496,15773,386373.09,53,UBER
69,2020-03-12,10:39,10:39 AM,24.55,24.475,24.475,24.5,24.505,8659,212186.96,22,UBER
70,2020-03-12,10:40,10:40 AM,24.615,24.52,24.53,24.53,24.581,11431,280990.04,55,UBER
71,2020-03-12,10:41,10:41 AM,24.605,24.53,24.53,24.59,24.585,7400,181933.0,22,UBER
72,2020-03-12,10:42,10:42 AM,24.585,24.41,24.585,24.41,24.486,5476,134087.45,27,UBER
73,2020-03-12,10:43,10:43 AM,24.435,24.34,24.41,24.385,24.393,12082,294714.5,50,UBER
74,2020-03-12,10:44,10:44 AM,24.48,24.38,24.39,24.39,24.416,18172,443680.14,51,UBER
75,2020-03-12,10:45,10:45 AM,24.445,24.355,24.42,24.355,24.401999999999997,4024,98194.68,35,UBER
76,2020-03-12,10:46,10:46 AM,24.44,24.33,24.33,24.365,24.355,2945,71727.05,26,UBER
77,2020-03-12,10:47,10:47 AM,24.58,24.34,24.365,24.5,24.529,13174,323145.0,57,UBER
78,2020-03-12,10:48,10:48 AM,24.555,24.395,24.49,24.55,24.5,16021,392523.92,61,UBER
79,2020-03-12,10:49,10:49 AM,24.64,24.525,24.55,24.635,24.58,2700,66366.0,23,UBER
80,2020-03-12,10:50,10:50 AM,24.635,24.49,24.635,24.5,24.526,5206,127680.0,37,UBER
81,2020-03-12,10:51,10:51 AM,24.58,24.46,24.49,24.58,24.491999999999997,5200,127356.5,29,UBER
82,2020-03-12,10:52,10:52 AM,24.645,24.495,24.605,24.645,24.58,6101,149960.495,41,UBER
83,2020-03-12,10:53,10:53 AM,24.68,24.565,24.645,24.615,24.633000000000003,6857,168910.2,31,UBER
84,2020-03-12,10:54,10:54 AM,24.6,24.515,24.555,24.515,24.557,1903,46732.27,13,UBER
85,2020-03-12,10:55,10:55 AM,24.51,24.3,24.51,24.315,24.435,5730,140011.245,30,UBER
86,2020-03-12,10:56,10:56 AM,24.34,24.22,24.3,24.34,24.258000000000003,2719,65957.655,24,UBER
