,date,minute,label,high,low,open,close,average,volume,notional,numberOfTrades,symbol
0,2020-04-03,09:30,09:30 AM,243.47,242.62,242.88,243.04,242.97299999999998,1136,276017.47,17,AAPL
1,2020-04-03,09:31,09:31 AM,243.91,243.52,243.84,243.59,243.794,789,192353.51,9,AAPL
2,2020-04-03,09:32,09:32 AM,244.04,243.53,243.53,244.02,243.856,490,119489.6,5,AAPL
3,2020-04-03,09:33,09:33 AM,244.06,243.64,243.64,244.06,243.81,400,97524.0,4,AAPL
4,2020-04-03,09:34,09:34 AM,244.22,244.22,244.22,244.22,244.22,180,43959.6,2,AAPL
5,2020-04-03,09:35,09:35 AM,244.205,243.86,244.205,243.92,244.076,754,184032.945,11,AAPL
6,2020-04-03,09:36,09:36 AM,243.885,243.5,243.885,243.63,243.581,1755,427485.5,8,AAPL
7,2020-04-03,09:37,09:37 AM,243.855,243.625,243.85,243.755,243.701,1600,389921.5,12,AAPL
8,2020-04-03,09:38,09:38 AM,243.48,243.35,243.47,243.35,243.356,2615,636375.7,4,AAPL
9,2020-04-03,09:39,09:39 AM,243.815,243.54,243.54,243.815,243.71,662,161335.78,8,AAPL
10,2020-04-03,09:40,09:40 AM,244.28,244.14,244.22,244.28,244.19299999999998,832,203168.9,10,AAPL
11,2020-04-03,09:41,09:41 AM,244.72,244.61,244.72,244.61,244.655,200,48931.0,3,AAPL
12,2020-04-03,09:42,09:42 AM,245.7,245.25,245.25,245.485,245.456,2227,546629.81,17,AAPL
13,2020-04-03,09:43,09:43 AM,245.43,245.125,245.43,245.15,245.248,4236,1038872.18,11,AAPL
14,2020-04-03,09:44,09:44 AM,245.12,244.7,245.08,244.7,244.956,708,173428.735,6,AAPL
15,2020-04-03,09:45,09:45 AM,244.63,244.575,244.595,244.63,244.58700000000002,1700,415797.5,4,AAPL
16,2020-04-03,09:46,09:46 AM,245.12,244.86,244.86,244.99,245.01,500,122505.0,5,AAPL
17,2020-04-03,09:47,09:47 AM,244.92,244.46,244.92,244.53,244.71900000000002,506,123828.01,6,AAPL
18,2020-04-03,09:48,09:48 AM,244.575,244.575,244.575,244.575,244.575,400,97830.0,1,AAPL
19,2020-04-03,09:49,09:49 AM,244.84,244.54,244.54,244.82,244.68599999999998,700,171280.0,7,AAPL
20,2020-04-03,09:50,09:50 AM,244.91,244.6,244.835,244.6,244.774,800,195819.5,8,AAPL
21,2020-04-03,09:51,09:51 AM,244.375,244.2,244.35,244.24,244.296,1800,439732.25,10,AAPL
22,2020-04-03,09:52,09:52 AM,244.275,244.21,244.21,244.235,244.24,300,73272.0,3,AAPL
23,2020-04-03,09:53,09:53 AM,244.32,244.22,244.28,244.22,244.267,550,134347.0,6,AAPL
24,2020-04-03,09:54,09:54 AM,244.43,244.155,244.155,244.43,244.345,500,122172.5,5,AAPL
25,2020-04-03,09:55,09:55 AM,244.955,244.64,244.68,244.955,244.78599999999997,700,171350.5,7,AAPL
26,2020-04-03,09:56,09:56 AM,245.1,244.9,244.94,245.1,244.972,610,149432.7,7,AAPL
27,2020-04-03,09:57,09:57 AM,245.24,245.05,245.05,245.085,245.09599999999998,783,191910.48,6,AAPL
28,2020-04-03,09:58,09:58 AM,245.28,244.98,245.28,244.98,245.084,505,123767.5,6,AAPL
29,2020-04-03,09:59,09:59 AM,244.7,244.52,244.52,244.7,244.593,300,73378.0,3,AAPL
30,2020-04-03,10:00,10 AM,245.14,244.76,244.76,245.025,244.99400000000003,1139,279048.29,10,AAPL
31,2020-04-03,10:01,10:01 AM,245.28,245.23,245.24,245.28,245.253,714,175110.72,8,AAPL
32,2020-04-03,10:02,10:02 AM,245.285,245.16,245.285,245.16,245.21900000000002,700,171653.0,7,AAPL
33,2020-04-03,10:03,10:03 AM,245.095,244.73,245.095,244.73,244.916,1000,244915.5,7,AAPL
34,2020-04-03,10:04,10:04 AM,244.55,244.48,244.55,244.48,244.503,300,73351.0,2,AAPL
35,2020-04-03,10:05,10:05 AM,244.8,244.32,244.35,244.785,244.585,3657,894447.645,25,AAPL
36,2020-04-03,10:06,10:06 AM,244.75,244.44,244.7,244.46,244.639,940,229960.4,10,AAPL
37,2020-04-03,10:07,10:07 AM,245.16,244.54,244.68,245.16,244.775,1650,403878.75,17,AAPL
38,2020-04-03,10:08,10:08 AM,245.65,245.14,245.14,245.465,245.38400000000001,1611,395313.8,16,AAPL
39,2020-04-03,10:09,10:09 AM,245.6,245.34,245.6,245.46,245.47099999999998,1010,247925.6,9,AAPL
40,2020-04-03,10:10,10:10 AM,245.32,244.99,245.25,245.18,245.203,501,122846.99,6,AAPL
41,2020-04-03,10:11,10:11 AM,245.19,245.19,245.19,245.19,245.19,200,49038.0,2,AAPL
42,2020-04-03,10:12,10:12 AM,245.26,245.1,245.26,245.1,245.187,727,178250.98,8,AAPL
43,2020-04-03,10:13,10:13 AM,245.24,245.0,245.07,245.04,245.09599999999998,2050,502446.0,14,AAPL
44,2020-04-03,10:14,10:14 AM,244.94,244.68,244.935,244.84,244.893,2138,523580.625,17,AAPL
45,2020-04-03,10:15,10:15 AM,244.62,244.585,244.62,244.61,244.59599999999998,490,119852.3,5,AAPL
46,2020-04-03,10:16,10:16 AM,244.28,244.12,244.28,244.12,244.143,117,28564.76,2,AAPL
47,2020-04-03,10:17,10:17 AM,243.895,243.895,243.895,243.895,243.895,100,24389.5,1,AAPL
48,2020-04-03,10:18,10:18 AM,243.6,243.35,243.58,243.395,243.455,602,146559.71,7,AAPL
49,2020-04-03,10:19,10:19 AM,243.425,243.26,243.34,243.26,243.335,314,76407.185,5,AAPL
50,2020-04-03,10:20,10:20 AM,243.4,243.27,243.4,243.34,243.33700000000002,300,73001.0,3,AAPL
51,2020-04-03,10:21,10:21 AM,243.6,243.34,243.46,243.345,243.42,747,181834.445,7,AAPL
52,2020-04-03,10:22,10:22 AM,243.0,243.0,243.0,243.0,243.0,100,24300.0,1,AAPL
53,2020-04-03,10:23,10:23 AM,242.86,242.76,242.76,242.86,242.80700000000002,402,97608.52,6,AAPL
54,2020-04-03,10:24,10:24 AM,243.11,242.87,242.885,243.02,243.024,1929,468793.88,17,AAPL
55,2020-04-03,10:25,10:25 AM,243.09,242.98,243.09,242.98,243.03,300,72909.0,3,AAPL
56,2020-04-03,10:26,10:26 AM,242.98,242.98,242.98,242.98,242.98,100,24298.0,1,AAPL
57,2020-04-03,10:27,10:27 AM,242.9,242.78,242.78,242.9,242.86,300,72858.0,4,AAPL
58,2020-04-03,10:28,10:28 AM,242.82,242.82,242.82,242.82,242.82,100,24282.0,1,AAPL
59,2020-04-03,10:29,10:29 AM,242.82,242.5,242.51,242.82,242.62900000000002,352,85405.33,6,AAPL
60,2020-04-03,10:30,10:30 AM,243.05,243.03,243.05,243.03,243.04,200,48608.0,2,AAPL
61,2020-04-03,10:31,10:31 AM,242.84,242.4,242.84,242.44,242.55599999999998,2000,485112.0,14,AAPL
62,2020-04-03,10:32,10:32 AM,242.67,242.57,242.57,242.585,242.63,1500,363945.6,9,AAPL
63,2020-04-03,10:33,10:33 AM,242.645,242.4,242.645,242.43,242.515,600,145509.0,6,AAPL
64,2020-04-03,10:34,10:34 AM,242.54,242.22,242.49,242.22,242.42,500,121210.0,4,AAPL
65,2020-04-03,10:35,10:35 AM,242.39,242.27,242.325,242.27,242.324,330,79966.8,5,AAPL
66,2020-04-03,10:36,10:36 AM,242.675,242.66,242.675,242.66,242.667,220,53386.7,2,AAPL
67,2020-04-03,10:37,10:37 AM,242.6,242.18,242.6,242.18,242.435,600,145461.0,5,AAPL
68,2020-04-03,10:38,10:38 AM,242.03,241.87,242.03,241.87,241.998,1110,268617.3,8,AAPL
69,2020-04-03,10:39,10:39 AM,241.86,241.86,241.86,241.86,241.86,100,24186.0,1,AAPL
70,2020-04-03,10:40,10:40 AM,242.18,242.09,242.145,242.15,242.141,400,96856.5,4,AAPL
71,2020-04-03,10:41,10:41 AM,242.11,241.95,242.08,242.08,242.065,970,234802.85,9,AAPL
72,2020-04-03,10:42,10:42 AM,242.165,241.75,242.07,241.75,242.024,850,205720.5,8,AAPL
73,2020-04-03,10:43,10:43 AM,241.765,241.59,241.745,241.765,241.726,1062,256713.43,7,AAPL
74,2020-04-03,10:44,10:44 AM,242.23,242.035,242.035,242.23,242.15099999999998,500,121075.5,4,AAPL
75,2020-04-03,10:45,10:45 AM,242.4,242.19,242.27,242.4,242.21599999999998,1201,290901.27,8,AAPL
76,2020-04-03,10:46,10:46 AM,242.52,242.49,242.49,242.52,242.505,200,48501.0,2,AAPL
77,2020-04-03,10:47,10:47 AM,242.67,242.52,242.52,242.67,242.618,700,169832.5,7,AAPL
78,2020-04-03,10:48,10:48 AM,242.66,242.58,242.66,242.65,242.6,510,123726.1,5,AAPL
79,2020-04-03,10:49,10:49 AM,242.705,242.47,242.705,242.47,242.57,500,121285.0,5,AAPL
80,2020-04-03,10:50,10:50 AM,,,,,,0,0.0,0,AAPL
81,2020-04-03,10:51,10:51 AM,242.695,242.35,242.5,242.695,242.49200000000002,610,147919.9,7,AAPL
82,2020-04-03,10:52,10:52 AM,242.785,242.755,242.76,242.785,242.774,800,194219.5,8,AAPL
83,2020-04-03,10:53,10:53 AM,242.835,242.69,242.83,242.69,242.767,301,73072.835,4,AAPL
84,2020-04-03,10:54,10:54 AM,242.51,242.35,242.51,242.37,242.419,714,173087.36,11,AAPL
85,2020-04-03,10:55,10:55 AM,242.555,242.28,242.28,242.555,242.39,300,72717.0,3,AAPL
86,2020-04-03,10:56,10:56 AM,242.86,242.74,242.83,242.74,242.821,400,97128.5,4,AAPL
87,2020-04-03,10:57,10:57 AM,243.025,242.9,242.9,243.02,242.967,999,242723.89,11,AAPL
88,2020-04-03,10:58,10:58 AM,242.96,242.83,242.91,242.83,242.9,300,72870.0,3,AAPL
89,2020-04-03,10:59,10:59 AM,242.93,242.83,242.83,242.9,242.90400000000002,500,121452.0,5,AAPL
90,2020-04-03,11:00,11 AM,243.45,243.065,243.065,243.38,243.263,1000,243263.0,10,AAPL
91,2020-04-03,11:01,11:01 AM,243.52,243.335,243.4,243.335,243.449,1200,292138.5,12,AAPL
92,2020-04-03,11:02,11:02 AM,243.44,243.115,243.44,243.115,243.31099999999998,889,216303.47,8,AAPL
93,2020-04-03,11:03,11:03 AM,242.85,242.85,242.85,242.85,242.85,100,24285.0,1,AAPL
94,2020-04-03,11:04,11:04 AM,243.08,242.865,243.08,242.865,242.873,104,25258.82,2,AAPL
95,2020-04-03,11:05,11:05 AM,,,,,,0,0.0,0,AAPL
96,2020-04-03,11:06,11:06 AM,242.91,242.4,242.91,242.4,242.645,310,75220.0,4,AAPL
97,2020-04-03,11:07,11:07 AM,242.515,242.27,242.27,242.38,242.394,800,193915.0,7,AAPL
98,2020-04-03,11:08,11:08 AM,242.58,242.385,242.53,242.385,242.53900000000002,600,145523.5,6,AAPL
99,2020-04-03,11:09,11:09 AM,242.645,242.38,242.38,242.645,242.512,200,48502.5,2,AAPL
100,2020-04-03,11:10,11:10 AM,242.91,242.91,242.91,242.91,242.91,100,24291.0,1,AAPL
101,2020-04-03,11:11,11:11 AM,242.85,242.85,242.85,242.85,242.85,200,48570.0,2,AAPL
102,2020-04-03,11:12,11:12 AM,242.695,242.315,242.695,242.315,242.56400000000002,900,218307.5,9,AAPL
103,2020-04-03,11:13,11:13 AM,242.295,242.25,242.295,242.25,242.274,210,50877.45,3,AAPL
104,2020-04-03,11:14,11:14 AM,242.22,241.995,242.22,242.02,242.11599999999999,937,226862.905,10,AAPL
105,2020-04-03,11:15,11:15 AM,242.095,241.94,241.94,242.085,242.054,600,145232.5,6,AAPL
106,2020-04-03,11:16,11:16 AM,242.165,241.91,242.015,242.165,242.046,800,193636.5,8,AAPL
107,2020-04-03,11:17,11:17 AM,242.3,242.25,242.27,242.25,242.27200000000002,600,145363.0,5,AAPL
108,2020-04-03,11:18,11:18 AM,242.2,242.11,242.2,242.13,242.137,400,96855.0,4,AAPL
109,2020-04-03,11:19,11:19 AM,242.175,241.895,241.895,242.175,241.942,600,145165.0,6,AAPL
110,2020-04-03,11:20,11:20 AM,242.215,242.18,242.215,242.18,242.197,200,48439.5,2,AAPL
111,2020-04-03,11:21,11:21 AM,242.265,242.095,242.095,242.265,242.183,700,169528.0,6,AAPL
112,2020-04-03,11:22,11:22 AM,242.295,242.17,242.275,242.295,242.25,500,121125.0,5,AAPL
113,2020-04-03,11:23,11:23 AM,242.26,242.01,242.26,242.01,242.118,600,145270.5,6,AAPL
114,2020-04-03,11:24,11:24 AM,242.03,241.7,242.03,241.77,241.912,617,149259.88,9,AAPL
115,2020-04-03,11:25,11:25 AM,242.04,241.98,242.04,241.98,242.032,115,27833.7,2,AAPL
116,2020-04-03,11:26,11:26 AM,242.07,242.015,242.015,242.07,242.042,200,48408.5,2,AAPL
117,2020-04-03,11:27,11:27 AM,242.18,242.165,242.18,242.165,242.175,300,72652.5,3,AAPL
118,2020-04-03,11:28,11:28 AM,242.22,242.18,242.22,242.18,242.2,300,72660.0,3,AAPL
119,2020-04-03,11:29,11:29 AM,242.51,242.28,242.285,242.51,242.37599999999998,510,123611.95,6,AAPL
120,2020-04-03,11:30,11:30 AM,242.225,241.99,242.225,241.995,242.108,1091,264139.59,11,AAPL
121,2020-04-03,11:31,11:31 AM,241.925,241.825,241.87,241.925,241.877,399,96509.11,4,AAPL
122,2020-04-03,11:32,11:32 AM,242.32,242.105,242.105,242.28,242.215,1600,387544.0,16,AAPL
123,2020-04-03,11:33,11:33 AM,242.49,242.33,242.33,242.49,242.36900000000003,407,98644.16,6,AAPL
124,2020-04-03,11:34,11:34 AM,242.54,242.365,242.46,242.485,242.435,1327,321711.02,18,AAPL
125,2020-04-03,11:35,11:35 AM,242.45,242.26,242.44,242.34,242.324,1200,290789.0,8,AAPL
126,2020-04-03,11:36,11:36 AM,242.235,242.02,242.12,242.02,242.125,339,82080.44,5,AAPL
127,2020-04-03,11:37,11:37 AM,242.07,241.92,241.92,242.07,242.05900000000003,108,26142.36,2,AAPL
128,2020-04-03,11:38,11:38 AM,242.74,242.62,242.625,242.74,242.707,140,33978.975,4,AAPL
