,symbol,date,isEnabled
0,A,2020-04-09,True
1,AA,2020-04-09,True
2,AAAU,2020-04-09,True
3,AACG,2020-04-09,True
4,AADR,2020-04-09,True
5,AAL,2020-04-09,True
6,AAMC,2020-04-09,True
7,AAME,2020-04-09,True
8,AAN,2020-04-09,True
9,AAOI,2020-04-09,True
10,AAON,2020-04-09,True
11,AAP,2020-04-09,True
12,AAPL,2020-04-09,True
13,AAT,2020-04-09,True
14,AAU,2020-04-09,True
15,AAWW,2020-04-09,True
16,AAXJ,2020-04-09,True
17,AAXN,2020-04-09,True
18,AB,2020-04-09,True
19,ABB,2020-04-09,True
20,ABBV,2020-04-09,True
21,ABC,2020-04-09,True
22,ABCB,2020-04-09,True
23,ABEO,2020-04-09,True
24,ABEQ,2020-04-09,True
25,ABEV,2020-04-09,True
26,ABG,2020-04-09,True
27,ABIO,2020-04-09,True
28,ABM,2020-04-09,True
29,ABMD,2020-04-09,True
30,ABR,2020-04-09,True
31,ABR-A,2020-04-09,True
32,ABR-B,2020-04-09,True
33,ABR-C,2020-04-09,True
34,ABT,2020-04-09,True
35,ABTX,2020-04-09,True
36,ABUS,2020-04-09,True
37,AC,2020-04-09,True
38,ACA,2020-04-09,True
39,ACAD,2020-04-09,True
40,ACAM,2020-04-09,True
41,ACAMU,2020-04-09,True
42,ACAMW,2020-04-09,True
43,ACB,2020-04-09,True
44,ACBI,2020-04-09,True
45,ACC,2020-04-09,True
46,ACCO,2020-04-09,True
47,ACEL,2020-04-09,True
48,ACEL+,2020-04-09,True
49,ACER,2020-04-09,True
50,ACES,2020-04-09,True
51,ACGL,2020-04-09,True
52,ACGLO,2020-04-09,True
53,ACGLP,2020-04-09,True
54,ACH,2020-04-09,True
55,ACHC,2020-04-09,True
56,ACHV,2020-04-09,True
57,ACIA,2020-04-09,True
58,ACIO,2020-04-09,True
59,ACIU,2020-04-09,True
60,ACIW,2020-04-09,True
61,ACLS,2020-04-09,True
62,ACM,2020-04-09,True
63,ACMR,2020-04-09,True
64,ACN,2020-04-09,True
65,ACNB,2020-04-09,True
66,ACOR,2020-04-09,True
67,ACP,2020-04-09,True
68,ACRE,2020-04-09,True
69,ACRS,2020-04-09,True
70,ACRX,2020-04-09,True
71,ACSG,2020-04-09,True
72,ACSI,2020-04-09,True
73,ACST,2020-04-09,True
74,ACT,2020-04-09,True
75,ACTG,2020-04-09,True
76,ACTT,2020-04-09,True
77,ACTTU,2020-04-09,True
78,ACTTW,2020-04-09,True
79,ACU,2020-04-09,True
80,ACV,2020-04-09,True
81,ACWF,2020-04-09,True
82,ACWI,2020-04-09,True
83,ACWV,2020-04-09,True
84,ACWX,2020-04-09,True
85,ACY,2020-04-09,True
86,ADAP,2020-04-09,True
87,ADBE,2020-04-09,True
88,ADC,2020-04-09,True
89,ADES,2020-04-09,True
90,ADI,2020-04-09,True
91,ADIL,2020-04-09,True
92,ADILW,2020-04-09,True
93,ADM,2020-04-09,True
94,ADMA,2020-04-09,True
95,ADME,2020-04-09,True
96,ADMP,2020-04-09,True
97,ADMS,2020-04-09,True
98,ADNT,2020-04-09,True
99,ADP,2020-04-09,True
100,ADPT,2020-04-09,True
101,ADRE,2020-04-09,True
102,ADRO,2020-04-09,True
103,ADS,2020-04-09,True
104,ADSK,2020-04-09,True
105,ADSW,2020-04-09,True
106,ADT,2020-04-09,True
107,ADTN,2020-04-09,True
108,ADUS,2020-04-09,True
109,ADVM,2020-04-09,True
110,ADX,2020-04-09,True
111,ADXN,2020-04-09,True
112,ADXS,2020-04-09,True
113,AE,2020-04-09,True
114,AEB,2020-04-09,True
115,AEE,2020-04-09,True
116,AEF,2020-04-09,True
117,AEFC,2020-04-09,True
118,AEG,2020-04-09,True
119,AEGN,2020-04-09,True
120,AEHR,2020-04-09,True
121,AEIS,2020-04-09,True
122,AEL,2020-04-09,True
123,AEL-A,2020-04-09,True
124,AEM,2020-04-09,True
125,AEMD,2020-04-09,True
126,AEO,2020-04-09,True
127,AEP,2020-04-09,True
128,AEP-B,2020-04-09,True
129,AER,2020-04-09,True
130,AERI,2020-04-09,True
131,AES,2020-04-09,True
132,AESE,2020-04-09,True
133,AESR,2020-04-09,True
134,AEY,2020-04-09,True
135,AEYE,2020-04-09,True
136,AEZS,2020-04-09,True
137,AFB,2020-04-09,True
138,AFC,2020-04-09,True
139,AFG,2020-04-09,True
140,AFGB,2020-04-09,True
141,AFGC,2020-04-09,True
142,AFGH,2020-04-09,True
143,AFH,2020-04-09,True
144,AFI,2020-04-09,True
145,AFIF,2020-04-09,True
146,AFIN,2020-04-09,True
147,AFINP,2020-04-09,True
148,AFK,2020-04-09,True
149,AFL,2020-04-09,True
150,AFLG,2020-04-09,True
151,AFMC,2020-04-09,True
152,AFMD,2020-04-09,True
153,AFSM,2020-04-09,True
154,AFT,2020-04-09,True
155,AFTY,2020-04-09,True
156,AFYA,2020-04-09,True
157,AG,2020-04-09,True
158,AGBA,2020-04-09,True
159,AGBAR,2020-04-09,True
160,AGBAU,2020-04-09,True
161,AGBAW,2020-04-09,True
162,AGCO,2020-04-09,True
163,AGD,2020-04-09,True
164,AGE,2020-04-09,True
165,AGEN,2020-04-09,True
166,AGFS,2020-04-09,True
167,AGFSW,2020-04-09,True
168,AGG,2020-04-09,True
169,AGGP,2020-04-09,True
170,AGGY,2020-04-09,True
171,AGI,2020-04-09,True
172,AGIO,2020-04-09,True
173,AGLE,2020-04-09,True
174,AGM,2020-04-09,True
175,AGM-A,2020-04-09,True
176,AGM-C,2020-04-09,True
177,AGM-D,2020-04-09,True
178,AGM.A,2020-04-09,True
179,AGMH,2020-04-09,True
180,AGN,2020-04-09,True
181,AGNC,2020-04-09,True
182,AGNCM,2020-04-09,True
183,AGNCN,2020-04-09,True
184,AGNCO,2020-04-09,True
185,AGNCP,2020-04-09,True
186,AGND,2020-04-09,True
187,AGO,2020-04-09,True
188,AGO-B,2020-04-09,True
189,AGO-E,2020-04-09,True
190,AGO-F,2020-04-09,True
191,AGQ,2020-04-09,True
192,AGR,2020-04-09,True
193,AGRO,2020-04-09,True
194,AGRX,2020-04-09,True
195,AGS,2020-04-09,True
196,AGT,2020-04-09,True
197,AGTC,2020-04-09,True
198,AGX,2020-04-09,True
199,AGYS,2020-04-09,True
200,AGZ,2020-04-09,True
201,AGZD,2020-04-09,True
202,AHC,2020-04-09,True
203,AHCO,2020-04-09,True
204,AHH,2020-04-09,True
205,AHH-A,2020-04-09,True
206,AHL-C,2020-04-09,True
207,AHL-D,2020-04-09,True
208,AHL-E,2020-04-09,True
209,AHPI,2020-04-09,True
210,AHT,2020-04-09,True
211,AHT-D,2020-04-09,True
212,AHT-F,2020-04-09,True
213,AHT-G,2020-04-09,True
214,AHT-H,2020-04-09,True
215,AHT-I,2020-04-09,True
216,AI,2020-04-09,True
217,AI-B,2020-04-09,True
218,AI-C,2020-04-09,True
219,AIA,2020-04-09,True
220,AIC,2020-04-09,True
221,AIEQ,2020-04-09,True
222,AIF,2020-04-09,True
223,AIG,2020-04-09,True
224,AIG+,2020-04-09,True
225,AIG-A,2020-04-09,True
226,AIH,2020-04-09,True
227,AIHS,2020-04-09,True
228,AIIQ,2020-04-09,True
229,AIKI,2020-04-09,True
230,AIM,2020-04-09,True
231,AIMC,2020-04-09,True
232,AIMT,2020-04-09,True
233,AIN,2020-04-09,True
234,AINC,2020-04-09,True
235,AINV,2020-04-09,True
236,AIO,2020-04-09,True
237,AIQ,2020-04-09,True
238,AIR,2020-04-09,True
239,AIRG,2020-04-09,True
240,AIRI,2020-04-09,True
